epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,5740.33,0.86153,0.32826,0.01523,0.99977,1,0.995,0.82059,0.67854,0.17136,0.0184,0.0002972,0.0002972,0.0002972
88,5804.35,0.84852,0.31358,0.01462,0.99885,0.99676,0.995,0.79668,0.7774,0.19856,0.02187,0.0002774,0.0002774,0.0002774
89,5867.45,0.83403,0.31279,0.01524,0.99942,1,0.995,0.81023,0.71769,0.1808,0.02017,0.0002576,0.0002576,0.0002576
90,5932.33,0.84138,0.32157,0.01521,0.99677,0.99995,0.995,0.8025,0.76944,0.19497,0.02221,0.0002378,0.0002378,0.0002378
91,5997.6,0.71168,0.20393,0.01813,0.99662,1,0.995,0.82995,0.65666,0.1708,0.01775,0.000218,0.000218,0.000218
92,6061.16,0.68219,0.19153,0.01672,1,0.99964,0.995,0.82674,0.67115,0.17185,0.01848,0.0001982,0.0001982,0.0001982
93,6123.81,0.66473,0.1821,0.01653,0.99948,1,0.995,0.82897,0.6497,0.16695,0.01769,0.0001784,0.0001784,0.0001784
94,6187.41,0.68328,0.18987,0.01685,0.99779,0.99676,0.995,0.82866,0.66477,0.17282,0.01831,0.0001586,0.0001586,0.0001586
95,6250.48,0.68652,0.18718,0.01718,0.99969,1,0.995,0.83352,0.64913,0.1668,0.0176,0.0001388,0.0001388,0.0001388
96,6314.47,0.67229,0.1874,0.01632,0.99979,1,0.995,0.83059,0.65403,0.17015,0.01795,0.000119,0.000119,0.000119
97,6377.01,0.6627,0.18373,0.01584,0.99439,0.99676,0.995,0.82824,0.65911,0.17567,0.01814,9.92e-05,9.92e-05,9.92e-05
98,6439.06,0.65622,0.17895,0.01584,0.99955,1,0.995,0.82752,0.67198,0.17416,0.01851,7.94e-05,7.94e-05,7.94e-05
99,6501.68,0.63371,0.17101,0.01549,0.99982,1,0.995,0.8319,0.65153,0.16833,0.01779,5.96e-05,5.96e-05,5.96e-05
100,6564.93,0.6632,0.17795,0.01607,0.99963,1,0.995,0.82926,0.66769,0.17097,0.01846,3.98e-05,3.98e-05,3.98e-05
